periodo,variable,tipo,psi,alerta_psi,ks_stat,ks_pval,alerta_ks,js,alerta_js,chi2_stat,chi2_pval,alerta_chi2
2025-01,puntaje_datacredito,numérica,0.0274,🟢 ESTABLE,0.0378,0.4814,🟢 ESTABLE,0.0539,🟢 ESTABLE,,,
2025-01,ratio_carga_financiera,numérica,0.0107,🟢 ESTABLE,0.0245,0.9258,🟢 ESTABLE,0.0382,🟢 ESTABLE,,,
2025-01,saldo_total,numérica,0.0158,🟢 ESTABLE,0.0375,0.4913,🟢 ESTABLE,0.0374,🟢 ESTABLE,,,
2025-01,saldo_principal,numérica,0.0266,🟢 ESTABLE,0.042,0.3495,🟢 ESTABLE,0.0614,🟢 ESTABLE,,,
2025-01,promedio_ingresos_datacredito,numérica,0.0225,🟢 ESTABLE,0.0382,0.4664,🟢 ESTABLE,0.066,🟢 ESTABLE,,,
2025-01,tipo_credito_4,numérica,0.0003,🟢 ESTABLE,0.0142,1.0,🟢 ESTABLE,0.0055,🟢 ESTABLE,,,
2025-01,tipo_credito_6,numérica,0.0,🟢 ESTABLE,0.0099,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-01,tipo_credito_7,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-01,tipo_credito_9,numérica,0.0031,🟢 ESTABLE,0.0255,0.9014,🟢 ESTABLE,0.006,🟢 ESTABLE,,,
2025-01,tipo_credito_10,numérica,0.0,🟢 ESTABLE,0.0092,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-01,tipo_credito_68,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-01,tipo_laboral_Empleado,numérica,0.0011,🟢 ESTABLE,0.0128,1.0,🟢 ESTABLE,0.0051,🟢 ESTABLE,,,
2025-01,tipo_laboral_Independiente,numérica,0.0011,🟢 ESTABLE,0.0128,1.0,🟢 ESTABLE,0.0051,🟢 ESTABLE,,,
2025-01,tendencia_ingresos,numérica,0.0049,🟢 ESTABLE,0.0242,0.9333,🟢 ESTABLE,0.0132,🟢 ESTABLE,,,
2025-02,capital_prestado,numérica,0.0139,🟢 ESTABLE,0.0316,0.7058,🟢 ESTABLE,0.0443,🟢 ESTABLE,,,
2025-02,plazo_meses,numérica,0.378,🔴 CRÍTICO,0.1228,0.0,🔴 DRIFT,0.2035,🔴 CRÍTICO,,,
2025-02,edad_cliente,numérica,0.0038,🟢 ESTABLE,0.0264,0.8789,🟢 ESTABLE,0.022,🟢 ESTABLE,,,
2025-02,salario_cliente,numérica,0.0168,🟢 ESTABLE,0.0326,0.6687,🟢 ESTABLE,0.0489,🟢 ESTABLE,,,
2025-02,total_otros_prestamos,numérica,0.0277,🟢 ESTABLE,0.0332,0.645,🟢 ESTABLE,0.0648,🟢 ESTABLE,,,
2025-02,cuota_pactada,numérica,0.0132,🟢 ESTABLE,0.0371,0.5045,🟢 ESTABLE,0.0369,🟢 ESTABLE,,,
2025-02,cant_creditosvigentes,numérica,0.0076,🟢 ESTABLE,0.0285,0.8145,🟢 ESTABLE,0.0299,🟢 ESTABLE,,,
2025-02,huella_consulta,numérica,0.0132,🟢 ESTABLE,0.0295,0.7813,🟢 ESTABLE,0.0339,🟢 ESTABLE,,,
2025-02,creditos_sectorFinanciero,numérica,0.024,🟢 ESTABLE,0.0332,0.6455,🟢 ESTABLE,0.0643,🟢 ESTABLE,,,
2025-02,creditos_sectorCooperativo,numérica,0.2874,🔴 CRÍTICO,0.4405,0.0,🔴 DRIFT,0.0612,🟢 ESTABLE,,,
2025-02,creditos_sectorReal,numérica,0.0184,🟢 ESTABLE,0.0379,0.4778,🟢 ESTABLE,0.0319,🟢 ESTABLE,,,
2025-02,año_prestamo,numérica,0.0152,🟢 ESTABLE,0.0231,0.9524,🟢 ESTABLE,0.0701,🟢 ESTABLE,,,
2025-02,mes_prestamo,numérica,0.0047,🟢 ESTABLE,0.0265,0.8763,🟢 ESTABLE,0.0249,🟢 ESTABLE,,,
2025-02,puntaje_datacredito,numérica,0.0205,🟢 ESTABLE,0.0419,0.3536,🟢 ESTABLE,0.0545,🟢 ESTABLE,,,
2025-02,ratio_carga_financiera,numérica,0.0055,🟢 ESTABLE,0.0226,0.9611,🟢 ESTABLE,0.0259,🟢 ESTABLE,,,
2025-02,saldo_total,numérica,0.0174,🟢 ESTABLE,0.0343,0.6057,🟢 ESTABLE,0.0446,🟢 ESTABLE,,,
2025-02,saldo_principal,numérica,0.0143,🟢 ESTABLE,0.0273,0.8512,🟢 ESTABLE,0.0437,🟢 ESTABLE,,,
2025-02,promedio_ingresos_datacredito,numérica,0.0165,🟢 ESTABLE,0.0415,0.3631,🟢 ESTABLE,0.0412,🟢 ESTABLE,,,
2025-02,tipo_credito_4,numérica,0.2679,🔴 CRÍTICO,0.33,0.0,🔴 DRIFT,0.0456,🟢 ESTABLE,,,
2025-02,tipo_credito_6,numérica,0.0,🟢 ESTABLE,0.0071,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-02,tipo_credito_7,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-02,tipo_credito_9,numérica,0.0029,🟢 ESTABLE,0.0249,0.9158,🟢 ESTABLE,0.0164,🟢 ESTABLE,,,
2025-02,tipo_credito_10,numérica,0.3744,🔴 CRÍTICO,0.514,0.0,🔴 DRIFT,0.0,🟢 ESTABLE,,,
2025-02,tipo_credito_68,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-02,tipo_laboral_Empleado,numérica,0.0004,🟢 ESTABLE,0.015,0.9998,🟢 ESTABLE,0.0048,🟢 ESTABLE,,,
2025-02,tipo_laboral_Independiente,numérica,0.0004,🟢 ESTABLE,0.015,0.9998,🟢 ESTABLE,0.0048,🟢 ESTABLE,,,
2025-02,tendencia_ingresos,numérica,0.0068,🟢 ESTABLE,0.0285,0.8159,🟢 ESTABLE,0.0168,🟢 ESTABLE,,,
2025-03,capital_prestado,numérica,0.0336,🟢 ESTABLE,0.0436,0.3074,🟢 ESTABLE,0.0663,🟢 ESTABLE,,,
2025-03,plazo_meses,numérica,0.0124,🟢 ESTABLE,0.0505,0.163,🟢 ESTABLE,0.0256,🟢 ESTABLE,,,
2025-03,edad_cliente,numérica,0.0221,🟢 ESTABLE,0.0454,0.2626,🟢 ESTABLE,0.0485,🟢 ESTABLE,,,
2025-03,salario_cliente,numérica,2.8192,🔴 CRÍTICO,0.4533,0.0,🔴 DRIFT,0.3376,🔴 CRÍTICO,,,
2025-03,total_otros_prestamos,numérica,0.039,🟢 ESTABLE,0.074,0.0093,🔴 DRIFT,0.0705,🟢 ESTABLE,,,
2025-03,cuota_pactada,numérica,0.0146,🟢 ESTABLE,0.0456,0.2583,🟢 ESTABLE,0.0389,🟢 ESTABLE,,,
2025-03,cant_creditosvigentes,numérica,0.0145,🟢 ESTABLE,0.0271,0.859,🟢 ESTABLE,0.0423,🟢 ESTABLE,,,
2025-03,huella_consulta,numérica,0.018,🟢 ESTABLE,0.0502,0.1674,🟢 ESTABLE,0.0553,🟢 ESTABLE,,,
2025-03,creditos_sectorFinanciero,numérica,0.0042,🟢 ESTABLE,0.0292,0.7921,🟢 ESTABLE,0.0295,🟢 ESTABLE,,,
2025-03,creditos_sectorCooperativo,numérica,0.2595,🔴 CRÍTICO,0.4165,0.0,🔴 DRIFT,0.0475,🟢 ESTABLE,,,
2025-03,creditos_sectorReal,numérica,0.0147,🟢 ESTABLE,0.0274,0.8482,🟢 ESTABLE,0.0372,🟢 ESTABLE,,,
2025-03,año_prestamo,numérica,0.0025,🟢 ESTABLE,0.016,0.9995,🟢 ESTABLE,0.0286,🟢 ESTABLE,,,
2025-03,mes_prestamo,numérica,0.1098,🟡 LEVE,0.062,0.046,🔴 DRIFT,0.1212,🟡 LEVE,,,
2025-03,puntaje_datacredito,numérica,0.0283,🟢 ESTABLE,0.0394,0.4266,🟢 ESTABLE,0.0544,🟢 ESTABLE,,,
2025-03,ratio_carga_financiera,numérica,0.0176,🟢 ESTABLE,0.0248,0.9193,🟢 ESTABLE,0.0487,🟢 ESTABLE,,,
2025-03,saldo_total,numérica,0.0112,🟢 ESTABLE,0.0287,0.809,🟢 ESTABLE,0.0398,🟢 ESTABLE,,,
2025-03,saldo_principal,numérica,0.0117,🟢 ESTABLE,0.0269,0.8644,🟢 ESTABLE,0.0443,🟢 ESTABLE,,,
2025-03,promedio_ingresos_datacredito,numérica,0.1721,🟡 LEVE,0.1015,0.0001,🔴 DRIFT,0.1994,🟡 LEVE,,,
2025-03,tipo_credito_4,numérica,0.005,🟢 ESTABLE,0.0474,0.2184,🟢 ESTABLE,0.0225,🟢 ESTABLE,,,
2025-03,tipo_credito_6,numérica,0.3202,🔴 CRÍTICO,0.5048,0.0,🔴 DRIFT,0.0,🟢 ESTABLE,,,
2025-03,tipo_credito_7,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-03,tipo_credito_9,numérica,0.015,🟢 ESTABLE,0.0526,0.1314,🟢 ESTABLE,0.0422,🟢 ESTABLE,,,
2025-03,tipo_credito_10,numérica,0.3398,🔴 CRÍTICO,0.496,0.0,🔴 DRIFT,0.0,🟢 ESTABLE,,,
2025-03,tipo_credito_68,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-03,tipo_laboral_Empleado,numérica,0.0018,🟢 ESTABLE,0.0197,0.9897,🟢 ESTABLE,0.0054,🟢 ESTABLE,,,
2025-03,tipo_laboral_Independiente,numérica,0.8985,🔴 CRÍTICO,0.252,0.0,🔴 DRIFT,0.2592,🔴 CRÍTICO,,,
2025-03,tendencia_ingresos,numérica,0.007,🟢 ESTABLE,0.0272,0.8564,🟢 ESTABLE,0.0182,🟢 ESTABLE,,,
2025-04,capital_prestado,numérica,0.0156,🟢 ESTABLE,0.0267,0.871,🟢 ESTABLE,0.0448,🟢 ESTABLE,,,
2025-04,plazo_meses,numérica,0.5339,🔴 CRÍTICO,0.113,0.0,🔴 DRIFT,0.3053,🔴 CRÍTICO,,,
2025-04,edad_cliente,numérica,0.0135,🟢 ESTABLE,0.0455,0.26,🟢 ESTABLE,0.0431,🟢 ESTABLE,,,
2025-04,salario_cliente,numérica,0.0208,🟢 ESTABLE,0.027,0.8614,🟢 ESTABLE,0.0456,🟢 ESTABLE,,,
2025-04,total_otros_prestamos,numérica,0.0159,🟢 ESTABLE,0.0404,0.3965,🟢 ESTABLE,0.0479,🟢 ESTABLE,,,
2025-04,cuota_pactada,numérica,0.0302,🟢 ESTABLE,0.035,0.5785,🟢 ESTABLE,0.0747,🟢 ESTABLE,,,
2025-04,cant_creditosvigentes,numérica,0.0197,🟢 ESTABLE,0.0481,0.2051,🟢 ESTABLE,0.0529,🟢 ESTABLE,,,
2025-04,huella_consulta,numérica,0.03,🟢 ESTABLE,0.0652,0.031,🔴 DRIFT,0.0585,🟢 ESTABLE,,,
2025-04,creditos_sectorFinanciero,numérica,0.0144,🟢 ESTABLE,0.0412,0.3733,🟢 ESTABLE,0.0545,🟢 ESTABLE,,,
2025-04,creditos_sectorCooperativo,numérica,0.0342,🟢 ESTABLE,0.0466,0.2355,🟢 ESTABLE,0.0196,🟢 ESTABLE,,,
2025-04,creditos_sectorReal,numérica,0.0099,🟢 ESTABLE,0.0266,0.8726,🟢 ESTABLE,0.0311,🟢 ESTABLE,,,
2025-04,año_prestamo,numérica,0.0051,🟢 ESTABLE,0.0194,0.9919,🟢 ESTABLE,0.028,🟢 ESTABLE,,,
2025-04,mes_prestamo,numérica,0.0179,🟢 ESTABLE,0.0396,0.4226,🟢 ESTABLE,0.0436,🟢 ESTABLE,,,
2025-04,puntaje_datacredito,numérica,0.0341,🟢 ESTABLE,0.0657,0.0292,🔴 DRIFT,0.0487,🟢 ESTABLE,,,
2025-04,ratio_carga_financiera,numérica,0.016,🟢 ESTABLE,0.031,0.7288,🟢 ESTABLE,0.0438,🟢 ESTABLE,,,
2025-04,saldo_total,numérica,0.0432,🟢 ESTABLE,0.0457,0.256,🟢 ESTABLE,0.0509,🟢 ESTABLE,,,
2025-04,saldo_principal,numérica,0.018,🟢 ESTABLE,0.0453,0.2656,🟢 ESTABLE,0.0384,🟢 ESTABLE,,,
2025-04,promedio_ingresos_datacredito,numérica,0.028,🟢 ESTABLE,0.0476,0.2156,🟢 ESTABLE,0.0632,🟢 ESTABLE,,,
2025-04,tipo_credito_4,numérica,0.0019,🟢 ESTABLE,0.0317,0.701,🟢 ESTABLE,0.014,🟢 ESTABLE,,,
2025-04,tipo_credito_6,numérica,0.0,🟢 ESTABLE,0.0092,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-04,tipo_credito_7,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-04,tipo_credito_9,numérica,0.0033,🟢 ESTABLE,0.0227,0.9598,🟢 ESTABLE,0.007,🟢 ESTABLE,,,
2025-04,tipo_credito_10,numérica,0.0,🟢 ESTABLE,0.005,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-04,tipo_credito_68,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-04,tipo_laboral_Empleado,numérica,0.7989,🔴 CRÍTICO,0.258,0.0,🔴 DRIFT,0.2135,🔴 CRÍTICO,,,
2025-04,tipo_laboral_Independiente,numérica,0.9846,🔴 CRÍTICO,0.27,0.0,🔴 DRIFT,0.3003,🔴 CRÍTICO,,,
2025-04,tendencia_ingresos,numérica,0.7989,🔴 CRÍTICO,0.1987,0.0,🔴 DRIFT,0.3779,🔴 CRÍTICO,,,
2025-05,capital_prestado,numérica,0.0378,🟢 ESTABLE,0.0541,0.1132,🟢 ESTABLE,0.0636,🟢 ESTABLE,,,
2025-05,plazo_meses,numérica,0.0197,🟢 ESTABLE,0.0342,0.6081,🟢 ESTABLE,0.0633,🟢 ESTABLE,,,
2025-05,edad_cliente,numérica,0.0258,🟢 ESTABLE,0.0507,0.1596,🟢 ESTABLE,0.0538,🟢 ESTABLE,,,
2025-05,salario_cliente,numérica,0.0138,🟢 ESTABLE,0.0501,0.1695,🟢 ESTABLE,0.0501,🟢 ESTABLE,,,
2025-05,total_otros_prestamos,numérica,0.014,🟢 ESTABLE,0.0466,0.2357,🟢 ESTABLE,0.0503,🟢 ESTABLE,,,
2025-05,cuota_pactada,numérica,0.0214,🟢 ESTABLE,0.0388,0.4468,🟢 ESTABLE,0.0527,🟢 ESTABLE,,,
2025-05,cant_creditosvigentes,numérica,0.0196,🟢 ESTABLE,0.0334,0.638,🟢 ESTABLE,0.0509,🟢 ESTABLE,,,
2025-05,huella_consulta,numérica,0.1274,🟡 LEVE,0.0823,0.0026,🔴 DRIFT,0.1725,🟡 LEVE,,,
2025-05,creditos_sectorFinanciero,numérica,0.0898,🟢 ESTABLE,0.094,0.0004,🔴 DRIFT,0.154,🟡 LEVE,,,
2025-05,creditos_sectorCooperativo,numérica,0.0047,🟢 ESTABLE,0.0151,0.9998,🟢 ESTABLE,0.0092,🟢 ESTABLE,,,
2025-05,creditos_sectorReal,numérica,0.0097,🟢 ESTABLE,0.0346,0.5939,🟢 ESTABLE,0.0294,🟢 ESTABLE,,,
2025-05,año_prestamo,numérica,0.0089,🟢 ESTABLE,0.0244,0.927,🟢 ESTABLE,0.0603,🟢 ESTABLE,,,
2025-05,mes_prestamo,numérica,0.096,🟢 ESTABLE,0.084,0.002,🔴 DRIFT,0.1041,🟡 LEVE,,,
2025-05,puntaje_datacredito,numérica,0.0423,🟢 ESTABLE,0.0778,0.0053,🔴 DRIFT,0.0681,🟢 ESTABLE,,,
2025-05,ratio_carga_financiera,numérica,0.035,🟢 ESTABLE,0.0619,0.0464,🔴 DRIFT,0.0622,🟢 ESTABLE,,,
2025-05,saldo_total,numérica,0.0261,🟢 ESTABLE,0.0436,0.3065,🟢 ESTABLE,0.0491,🟢 ESTABLE,,,
2025-05,saldo_principal,numérica,0.0231,🟢 ESTABLE,0.0393,0.4324,🟢 ESTABLE,0.0452,🟢 ESTABLE,,,
2025-05,promedio_ingresos_datacredito,numérica,0.022,🟢 ESTABLE,0.033,0.6542,🟢 ESTABLE,0.0594,🟢 ESTABLE,,,
2025-05,tipo_credito_4,numérica,0.0001,🟢 ESTABLE,0.024,0.9368,🟢 ESTABLE,0.0028,🟢 ESTABLE,,,
2025-05,tipo_credito_6,numérica,0.3299,🔴 CRÍTICO,0.4988,0.0,🔴 DRIFT,0.0,🟢 ESTABLE,,,
2025-05,tipo_credito_7,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-05,tipo_credito_9,numérica,0.0067,🟢 ESTABLE,0.0171,0.9985,🟢 ESTABLE,0.0127,🟢 ESTABLE,,,
2025-05,tipo_credito_10,numérica,0.0,🟢 ESTABLE,0.0071,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-05,tipo_credito_68,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-05,tipo_laboral_Empleado,numérica,0.0094,🟢 ESTABLE,0.0508,0.1582,🟢 ESTABLE,0.0172,🟢 ESTABLE,,,
2025-05,tipo_laboral_Independiente,numérica,0.0094,🟢 ESTABLE,0.0508,0.1582,🟢 ESTABLE,0.0172,🟢 ESTABLE,,,
2025-05,tendencia_ingresos,numérica,0.0292,🟢 ESTABLE,0.059,0.0657,🟢 ESTABLE,0.039,🟢 ESTABLE,,,
2025-06,capital_prestado,numérica,0.0224,🟢 ESTABLE,0.0513,0.1497,🟢 ESTABLE,0.0509,🟢 ESTABLE,,,
2025-06,plazo_meses,numérica,0.0093,🟢 ESTABLE,0.0233,0.9494,🟢 ESTABLE,0.0235,🟢 ESTABLE,,,
2025-06,edad_cliente,numérica,0.0275,🟢 ESTABLE,0.0326,0.667,🟢 ESTABLE,0.0627,🟢 ESTABLE,,,
2025-06,salario_cliente,numérica,0.032,🟢 ESTABLE,0.0729,0.0109,🔴 DRIFT,0.0689,🟢 ESTABLE,,,
2025-06,total_otros_prestamos,numérica,0.0161,🟢 ESTABLE,0.0265,0.8757,🟢 ESTABLE,0.0464,🟢 ESTABLE,,,
2025-06,cuota_pactada,numérica,0.0206,🟢 ESTABLE,0.0603,0.0563,🟢 ESTABLE,0.0545,🟢 ESTABLE,,,
2025-06,cant_creditosvigentes,numérica,0.0065,🟢 ESTABLE,0.0184,0.9956,🟢 ESTABLE,0.0302,🟢 ESTABLE,,,
2025-06,huella_consulta,numérica,0.0405,🟢 ESTABLE,0.0261,0.886,🟢 ESTABLE,0.0607,🟢 ESTABLE,,,
2025-06,creditos_sectorFinanciero,numérica,0.0279,🟢 ESTABLE,0.0338,0.6241,🟢 ESTABLE,0.0682,🟢 ESTABLE,,,
2025-06,creditos_sectorCooperativo,numérica,1.1786,🔴 CRÍTICO,0.396,0.0,🔴 DRIFT,0.2024,🔴 CRÍTICO,,,
2025-06,creditos_sectorReal,numérica,0.0135,🟢 ESTABLE,0.0472,0.2238,🟢 ESTABLE,0.0274,🟢 ESTABLE,,,
2025-06,año_prestamo,numérica,0.0032,🟢 ESTABLE,0.0119,1.0,🟢 ESTABLE,0.0324,🟢 ESTABLE,,,
2025-06,mes_prestamo,numérica,0.0202,🟢 ESTABLE,0.0328,0.662,🟢 ESTABLE,0.0423,🟢 ESTABLE,,,
2025-06,puntaje_datacredito,numérica,0.0188,🟢 ESTABLE,0.0546,0.1073,🟢 ESTABLE,0.0387,🟢 ESTABLE,,,
2025-06,ratio_carga_financiera,numérica,0.0555,🟢 ESTABLE,0.0638,0.0371,🔴 DRIFT,0.0831,🟢 ESTABLE,,,
2025-06,saldo_total,numérica,0.0695,🟢 ESTABLE,0.062,0.0459,🔴 DRIFT,0.0822,🟢 ESTABLE,,,
2025-06,saldo_principal,numérica,0.0285,🟢 ESTABLE,0.0532,0.1237,🟢 ESTABLE,0.0422,🟢 ESTABLE,,,
2025-06,promedio_ingresos_datacredito,numérica,0.0097,🟢 ESTABLE,0.027,0.8613,🟢 ESTABLE,0.0384,🟢 ESTABLE,,,
2025-06,tipo_credito_4,numérica,0.0007,🟢 ESTABLE,0.0179,0.997,🟢 ESTABLE,0.0084,🟢 ESTABLE,,,
2025-06,tipo_credito_6,numérica,0.0,🟢 ESTABLE,0.0082,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-06,tipo_credito_7,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-06,tipo_credito_9,numérica,0.74,🔴 CRÍTICO,0.346,0.0,🔴 DRIFT,0.3212,🔴 CRÍTICO,,,
2025-06,tipo_credito_10,numérica,0.3267,🔴 CRÍTICO,0.5046,0.0,🔴 DRIFT,0.0,🟢 ESTABLE,,,
2025-06,tipo_credito_68,numérica,0.0,🟢 ESTABLE,0.0001,1.0,🟢 ESTABLE,0.0,🟢 ESTABLE,,,
2025-06,tipo_laboral_Empleado,numérica,0.0054,🟢 ESTABLE,0.0355,0.5613,🟢 ESTABLE,0.0126,🟢 ESTABLE,,,
2025-06,tipo_laboral_Independiente,numérica,0.0054,🟢 ESTABLE,0.0355,0.5613,🟢 ESTABLE,0.0126,🟢 ESTABLE,,,
2025-06,tendencia_ingresos,numérica,0.0051,🟢 ESTABLE,0.0212,0.9785,🟢 ESTABLE,0.0109,🟢 ESTABLE,,,
